time (min),50nM MTM1,25nM MTM1,50nM MTM1 + 300nM Snx17,25nM MTM1 + 300nM Snx17
13.25,0.309473,0.195119,0.650095,0.496421
13.33333,0.30858,0.188271,0.650823,0.50031
13.41667,0.302723,0.193592,0.654656,0.501054
13.5,0.316304,0.205655,0.659256,0.516019
13.58333,0.309319,0.19236,0.661499,0.522782
13.66667,0.323815,0.186533,0.655589,0.510535
13.75,0.313948,0.199192,0.654153,0.506193
13.83333,0.324972,0.190857,0.654855,0.527939
13.91667,0.319303,0.170392,0.657006,0.512462
14,0.315299,0.193913,0.653238,0.509822
14.08333,0.300241,0.205675,0.645315,0.515533
14.16667,0.313841,0.211455,0.651345,0.51982
14.25,0.319509,0.196644,0.650454,0.528144
14.33333,0.324969,0.210124,0.659167,0.520823
14.41667,0.323532,0.219844,0.654592,0.532191
14.5,0.327402,0.186132,0.653042,0.527819
14.58333,0.317185,0.218239,0.654679,0.537846
14.66667,0.303951,0.199511,0.654898,0.520726
14.75,0.332643,0.205,0.658643,0.521651
14.83333,0.326637,0.208586,0.662785,0.522139
14.91667,0.350155,0.225691,0.663108,0.523717
15,0.353064,0.222731,0.656999,0.526599
15.08333,0.350246,0.222828,0.660983,0.526621
15.16667,0.348625,0.228213,0.665481,0.535285
15.25,0.351752,0.215698,0.663462,0.539217
15.33333,0.352293,0.213848,0.659334,0.544321
15.41667,0.345029,0.220764,0.660223,0.540422
15.5,0.348742,0.225109,0.653432,0.556022
15.58333,0.334716,0.223136,0.663541,0.557123
15.66667,0.345939,0.208321,0.662823,0.542717
15.75,0.367139,0.202075,0.662763,0.551895
15.83333,0.345826,0.233734,0.662953,0.564175
15.91667,0.349759,0.246238,0.663615,0.561016
16,0.340194,0.224652,0.662547,0.568872
16.08333,0.319902,0.237873,0.665162,0.557324
16.16667,0.328594,0.240137,0.660832,0.571994
16.25,0.330175,0.228473,0.655169,0.565583
16.33333,0.332374,0.218989,0.662579,0.574898
16.41667,0.334301,0.221493,0.66325,0.558457
16.5,0.34107,0.222207,0.661628,0.574778
16.58333,0.338072,0.227354,0.660735,0.567454
16.66667,0.350141,0.207823,0.66326,0.566228
16.75,0.345835,0.203991,0.66774,0.581818
16.83333,0.337327,0.232341,0.66447,0.570283
16.91667,0.348101,0.218806,0.684207,0.567843
17,0.332257,0.221364,0.690878,0.561708
17.08333,0.337357,0.229702,0.690556,0.568737
17.16667,0.335068,0.24334,0.690032,0.559098
17.25,0.357885,0.254194,0.688494,0.586486
17.33333,0.335725,0.234084,0.687961,0.588706
17.41667,0.341129,0.25712,0.691081,0.57427
17.5,0.371375,0.245145,0.688657,0.575166
17.58333,0.350218,0.254593,0.68454,0.579746
17.66667,0.365078,0.236222,0.667836,0.570796
17.75,0.357614,0.249698,0.667062,0.576321
17.83333,0.347015,0.251556,0.66576,0.570861
17.91667,0.365147,0.244999,0.67227,0.57404
18,0.341822,0.249446,0.674335,0.576062
18.08333,0.365174,0.245421,0.672126,0.586048
18.16667,0.380091,0.263942,0.668024,0.580701
18.25,0.352451,0.260838,0.667013,0.575768
18.33333,0.363858,0.245782,0.666637,0.580641
18.41667,0.36219,0.249969,0.67415,0.587077
18.5,0.354013,0.259774,0.687167,0.580382
18.58333,0.358937,0.261073,0.698624,0.591303
18.66667,0.384001,0.252541,0.692734,0.576554
18.75,0.374928,0.258689,0.694189,0.578969
18.83333,0.37183,0.264788,0.693777,0.571169
18.91667,0.373165,0.268059,0.696536,0.592097
19,0.361058,0.263571,0.694249,0.581947
19.08333,0.379936,0.262294,0.695176,0.586733
19.16667,0.374382,0.242887,0.695822,0.567728
19.25,0.370615,0.241392,0.694836,0.572454
19.33333,0.389981,0.244044,0.692555,0.571843
19.41667,0.350155,0.243987,0.690715,0.578138
19.5,0.374581,0.25818,0.691868,0.563888
19.58333,0.376967,0.257787,0.689441,0.568404
19.66667,0.368755,0.253246,0.683949,0.570822
19.75,0.382583,0.25878,0.681138,0.575805
19.83333,0.395322,0.276923,0.686044,0.559984
19.91667,0.407988,0.245227,0.684604,0.56886
20,0.372706,0.263736,0.689548,0.574627
20.08333,0.387892,0.24601,0.679288,0.592282
20.16667,0.383622,0.24136,0.686183,0.579367
20.25,0.376458,0.245378,0.692353,0.583525
20.33333,0.373691,0.239481,0.686444,0.57906
20.41667,0.382639,0.245733,0.697291,0.579406
20.5,0.379968,0.246541,0.694003,0.570197
20.58333,0.39326,0.246263,0.70408,0.587474
20.66667,0.373918,0.247142,0.706158,0.58307
20.75,0.390365,0.256498,0.69287,0.577981
20.83333,0.387238,0.256682,0.69999,0.577387
20.91667,0.401402,0.238202,0.693167,0.5786
21,0.391097,0.243683,0.695891,0.582377
21.08333,0.386416,0.242835,0.69652,0.581726
21.16667,0.388231,0.24925,0.698488,0.58465
21.25,0.407468,0.249539,0.702433,0.575666
21.33333,0.388241,0.262001,0.689304,0.582637
21.41667,0.384471,0.26013,0.695629,0.579024
21.5,0.405871,0.26931,0.694927,0.585328
21.58333,0.388604,0.265607,0.689048,0.579047
21.66667,0.394235,0.279966,0.694287,0.582821
21.75,0.418974,0.267362,0.706741,0.578075
21.83333,0.419363,0.278573,0.697498,0.586502
21.91667,0.386056,0.279403,0.703725,0.586115
22,0.389028,0.266707,0.705384,0.584361
22.08333,0.403046,0.264764,0.703469,0.582386
22.16667,0.431145,0.279839,0.703152,0.587114
22.25,0.411311,0.264606,0.69777,0.578561
22.33333,0.438828,0.288478,0.707805,0.576455
22.41667,0.409684,0.276929,0.698275,0.579339
22.5,0.424985,0.286319,0.696784,0.575745
22.58333,0.397776,0.28567,0.701201,0.581468
22.66667,0.408294,0.280876,0.706746,0.580675
22.75,0.430646,0.288441,0.706087,0.589346
22.83333,0.43845,0.278285,0.704563,0.579153
22.91667,0.444635,0.276441,0.706137,0.58066
23,0.423504,0.271817,0.702095,0.584878
23.08333,0.446559,0.293154,0.693426,0.589267
23.16667,0.399602,0.299722,0.705619,0.586813
23.25,0.399677,0.275493,0.699346,0.58484
23.33333,0.436996,0.281374,0.691553,0.582717
23.41667,0.428327,0.291727,0.698302,0.582237
23.5,0.432977,0.298479,0.702151,0.580932
23.58333,0.418938,0.282235,0.700432,0.591756
23.66667,0.418169,0.299139,0.692698,0.590712
23.75,0.425687,0.280717,0.699969,0.592237
23.83333,0.422185,0.288498,0.696942,0.581609
23.91667,0.420168,0.303794,0.689542,0.591523
24,0.433929,0.275882,0.697861,0.588057
24.08333,0.452478,0.278749,0.695213,0.589657
24.16667,0.430436,0.255482,0.696465,0.593912
24.25,0.420114,0.257119,0.702142,0.592879
24.33333,0.424847,0.269742,0.691066,0.594218
24.41667,0.422122,0.28103,0.694432,0.585376
24.5,0.423332,0.289156,0.686007,0.593845
24.58333,0.424882,0.306688,0.687909,0.591381
24.66667,0.434727,0.303625,0.689624,0.592933
24.75,0.41789,0.303684,0.701107,0.593186
24.83333,0.422678,0.320338,0.695878,0.601883
24.91667,0.4568,0.319515,0.686722,0.589086
25,0.442528,0.303569,0.694911,0.597414
25.08333,0.429581,0.311459,0.689852,0.593753
25.16667,0.444015,0.298921,0.683994,0.59602
25.25,0.464554,0.322668,0.700196,0.595347
25.33333,0.459244,0.309664,0.694145,0.589542
25.41667,0.447531,0.327369,0.693573,0.594398
25.5,0.446563,0.32931,0.690457,0.597046
25.58333,0.444347,0.321454,0.693942,0.596955
25.66667,0.444523,0.333626,0.691351,0.595219
25.75,0.451728,0.32415,0.686061,0.594079
25.83333,0.437532,0.313537,0.691576,0.593576
25.91667,0.44488,0.320617,0.692947,0.595862
26,0.459235,0.319157,0.685866,0.610351
26.08333,0.45482,0.303691,0.699952,0.601585
26.16667,0.460497,0.314313,0.690971,0.6064
26.25,0.467239,0.318861,0.692613,0.602378
26.33333,0.469996,0.321349,0.698757,0.599128
26.41667,0.46788,0.331466,0.687709,0.598109
26.5,0.464079,0.33251,0.702496,0.579927
26.58333,0.454872,0.323072,0.692563,0.591418
26.66667,0.452061,0.324615,0.698369,0.595912
26.75,0.465962,0.317133,0.69228,0.59441
26.83333,0.464141,0.328804,0.698316,0.598651
26.91667,0.445078,0.325741,0.69149,0.593839
27,0.447912,0.322559,0.698767,0.582714
27.08333,0.462588,0.303121,0.698308,0.596637
27.16667,0.456465,0.328756,0.685913,0.587392
27.25,0.453937,0.332415,0.685055,0.598274
27.33333,0.45395,0.335726,0.68405,0.595734
27.41667,0.452217,0.319689,0.685787,0.593589
27.5,0.470834,0.338964,0.682817,0.593022
27.58333,0.455736,0.314915,0.681612,0.598853
27.66667,0.459836,0.310751,0.6886,0.59199
27.75,0.456758,0.318046,0.681551,0.595075
27.83333,0.452997,0.334366,0.689672,0.600395
27.91667,0.463882,0.314435,0.688301,0.589233
28,0.458398,0.331006,0.687341,0.590791
28.08333,0.472361,0.320699,0.68109,0.58475
28.16667,0.491288,0.340745,0.694908,0.586794
28.25,0.473065,0.325375,0.689036,0.593636
28.33333,0.477735,0.314324,0.681201,0.597257
28.41667,0.473742,0.339695,0.6827,0.604033
28.5,0.461172,0.33643,0.69421,0.602349
28.58333,0.457548,0.327068,0.680827,0.601476
28.66667,0.472731,0.322661,0.682832,0.602937
28.75,0.511416,0.342791,0.681853,0.601794
28.83333,0.482585,0.343987,0.694054,0.604934
28.91667,0.471545,0.345709,0.680931,0.5896
29,0.482981,0.344617,0.686168,0.606046
29.08333,0.474394,0.336541,0.687493,0.594642
29.16667,0.460287,0.343971,0.694636,0.594326
29.25,0.470839,0.339761,0.684907,0.605895
29.33333,0.476754,0.318422,0.680454,0.593983
29.41667,0.512768,0.333384,0.693794,0.607492
29.5,0.492034,0.341269,0.686982,0.599149
29.58333,0.492439,0.344044,0.681622,0.598078
29.66667,0.487833,0.333097,0.694637,0.590367
29.75,0.48859,0.330614,0.69416,0.583541
29.83333,0.510163,0.335983,0.681751,0.590679
29.91667,0.510916,0.336364,0.681587,0.589779
30,0.495293,0.332478,0.678623,0.594249
30.08333,0.521245,0.348638,0.69431,0.589812
